,lstm_0,lstm_1,lstm_2,lstm_3,lstm_4
Start,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00,2022-01-09 00:00:00+00:00
End,2022-05-15 00:00:00+00:00,2022-05-15 00:00:00+00:00,2022-05-15 00:00:00+00:00,2022-05-15 00:00:00+00:00,2022-05-15 00:00:00+00:00
Duration,126 days 00:00:00,126 days 00:00:00,126 days 00:00:00,126 days 00:00:00,126 days 00:00:00
Exposure Time [%],83.83882363964044,82.88148764612188,82.99888117900585,83.78646502168749,82.31877028896446
Equity Final [$],85395524.86000007,120831164.97000001,90401475.01999997,84016391.38000003,94654273.47
Equity Peak [$],102556728.78999999,126169789.87,101735437.66,102486361.75,103402543.97000001
Return [%],-14.604475139999925,20.831164970000014,-9.598524980000034,-15.983608619999975,-5.345726530000001
Buy & Hold Return [%],-27.84550968442996,-27.84550968442996,-27.84550968442996,-27.84550968442996,-27.84550968442996
Return (Ann.) [%],-36.475181548606464,72.25967871537584,-25.174824415472763,-39.379290638660066,-14.606142027616698
Volatility (Ann.) [%],18.626535961941983,42.81708901282693,21.401122844233235,17.790157903904756,24.330797358485988
Sharpe Ratio,-1.95823751786876,1.687636417639897,-1.1763319428941268,-2.2135436262775787,-0.6003149758066779
Sortino Ratio,-1.5168418871667897,4.973911007543151,-1.10391108086706,-1.6349115644085936,-0.6522975152226379
Calmar Ratio,-1.786869527257182,6.330574752886585,-1.6663918637801667,-1.8077485972878153,-1.163763617586553
Max. Drawdown [%],-20.412895845056646,-11.414394669682594,-15.107385581182765,-21.783610120202134,-12.550780765863212
Avg. Drawdown [%],-0.6893900150458854,-0.3593592805467736,-0.6771806066251482,-0.6779703254916358,-0.8825699205766624
Max. Drawdown Duration,110 days 10:55:00,55 days 12:55:00,107 days 02:48:00,110 days 12:54:00,97 days 21:13:00
Avg. Drawdown Duration,3 days 04:03:00,0 days 08:52:00,3 days 09:59:00,2 days 23:59:00,2 days 13:50:00
# Trades,165,121,133,147,134
Win Rate [%],33.33333333333333,66.94214876033058,40.6015037593985,34.69387755102041,47.01492537313433
Best Trade [%],13.660541859125663,13.26406534336294,14.199238822320348,14.102131322550848,14.199238822320348
Worst Trade [%],-33.69097069606273,-26.271816850961116,-26.51590226173173,-33.661104820928415,-25.02435621923702
Avg. Trade [%],-7.154298778311219,-0.4629387313155098,-4.988849226547821,-7.103841735270366,-3.8533028983446127
Max. Trade Duration,28 days 10:33:00,28 days 11:05:00,28 days 11:08:00,28 days 16:26:00,26 days 06:05:00
Avg. Trade Duration,6 days 13:52:00,4 days 13:23:00,5 days 20:18:00,7 days 02:53:00,4 days 19:32:00
Profit Factor,0.1664534088928083,0.9284007471918003,0.2906148008514987,0.18726029696629246,0.3669166360433094
Expectancy [%],-6.603016854067671,-0.18318110078964359,-4.484406466959215,-6.5072611551888375,-3.4036713350725
